id,day,pressure,humidity,cloud,sunshine,winddirection,windspeed,rainfall,Temp_unificada
27,28,1017.0,80.0,80.0,2.6,50.0,14.5,1,-1.2792825860048025
28,29,1019.9,86.0,79.0,0.6,50.0,21.4,1,-1.1906240074874994
29,30,1018.1,74.0,49.0,7.7,40.0,14.3,0,-1.3493683027211965
30,31,1018.5,75.0,69.0,7.7,70.0,35.1,1,-1.565444517715267
31,32,1019.5,82.0,69.0,1.1,40.0,20.5,0,-0.8191127131153029
32,33,1020.4,52.0,56.0,2.9,40.0,21.3,0,-2.067775131028849
33,34,1024.4,90.0,95.0,4.3,70.0,35.3,1,-1.8253720039684178
34,35,1017.0,91.0,88.0,0.0,50.0,14.3,1,-1.431068464859117
35,36,1023.1,78.0,89.0,0.0,50.0,28.4,0,-2.9860027195245338
36,37,1014.4,79.0,88.0,0.0,40.0,18.4,1,-1.0160538150383531
37,38,1021.8,74.0,44.0,9.5,20.0,26.7,0,-1.788028690529511
38,39,1023.1,75.0,43.0,9.2,60.0,11.9,0,-2.3639361358594586
39,40,1018.9,79.0,90.0,0.0,50.0,28.8,1,-1.6706056378256888
40,41,1017.1,88.0,83.0,2.3,40.0,29.6,1,-0.8715490279277325
41,42,1015.8,75.0,46.0,4.1,20.0,19.0,0,-1.7035427702869244
42,43,1013.1,83.0,88.0,0.0,30.0,20.8,1,-1.2569255207890206
43,44,1015.2,90.0,90.0,0.0,60.0,34.2,1,-2.1299577992324923
44,45,1017.4,72.0,43.0,8.8,40.0,27.3,1,-3.4199907945166688
45,46,1016.9,91.0,91.0,0.0,20.0,33.4,1,-2.8801322388472466
46,47,1018.1,79.0,89.0,1.0,20.0,10.7,1,-2.830190311083271
47,48,1016.5,95.0,92.0,0.3,40.0,6.9,1,-1.4823593541404652
48,49,1016.8,75.0,70.0,2.2,50.0,16.5,0,-1.5995096385562735
49,50,1023.6,72.0,40.0,9.5,20.0,9.8,1,-2.920577349305626
50,51,1024.4,79.0,49.0,9.1,20.0,35.3,0,-3.652255810389473
51,52,1016.3,96.0,88.0,0.3,70.0,9.9,1,-1.3969733573014473
52,53,1019.6,93.0,93.0,0.0,70.0,19.0,1,-2.368382857114957
53,54,1018.8,76.0,71.0,6.1,40.0,20.5,0,-1.3968291065531067
54,55,1016.5,76.0,88.0,0.0,60.0,39.5,1,-1.9772954971215675
55,56,1016.8,95.0,91.0,0.0,40.0,10.2,1,-1.3998563392967422
56,57,1012.0,86.0,80.0,1.6,60.0,13.8,0,-1.5996667080328453
57,58,1020.4,79.0,70.0,7.8,40.0,24.4,1,-0.8255944061878818
58,59,1014.4,86.0,82.0,1.6,40.0,27.3,1,-0.6785559974548669
59,60,1013.3,91.0,80.0,0.0,40.0,25.0,1,-1.1175145218447797
60,61,1018.1,92.0,88.0,0.0,40.0,28.4,1,-1.1721237127297435
61,62,1020.4,84.0,83.0,2.3,70.0,17.2,1,-3.344558128850229
62,63,1017.7,95.0,91.0,0.0,40.0,16.1,1,-1.8853806414937566
63,64,1017.9,76.0,72.0,7.2,70.0,25.1,0,-1.714218033613958
64,65,1019.4,69.0,54.0,1.0,50.0,29.6,0,-1.5953769381891563
65,66,1022.7,63.0,95.0,0.1,20.0,24.5,1,-4.514761823753211
66,67,1020.3,59.0,88.0,0.0,40.0,27.4,1,-2.9864229111930847
67,68,1014.2,97.0,95.0,0.0,40.0,22.9,1,-2.059574215097378
68,69,1015.0,90.0,51.0,9.5,60.0,24.9,0,-2.410412338639283
69,70,1014.6,72.0,47.0,10.8,30.0,28.8,0,-0.8995608488983565
70,71,1021.4,75.0,43.0,11.0,20.0,7.4,0,-2.6171417380827116
71,72,1015.6,83.0,80.0,3.4,70.0,16.5,0,-0.6692943095238488
72,73,1018.5,89.0,88.0,1.4,20.0,8.9,1,-0.8096930812759395
73,74,1017.1,84.0,61.0,7.6,70.0,24.8,1,-0.5186581834385806
74,75,1012.0,90.0,87.0,0.5,40.0,26.0,1,-0.7445747932996752
75,76,1012.5,87.0,88.0,3.7,40.0,28.0,1,-0.19614849114121616
76,77,1014.0,89.0,88.0,0.3,70.0,20.0,1,-0.09356096157190684
77,78,1014.0,85.0,88.0,3.2,70.0,31.2,1,0.027992191102378917
78,79,1013.5,87.0,85.0,0.3,50.0,26.1,1,0.514116695461797
79,80,1011.4,77.0,91.0,0.2,40.0,15.4,1,-1.1286577050094966
80,81,1016.8,83.0,81.0,1.2,80.0,24.4,1,0.3590583750161955
81,82,1019.8,89.0,84.0,1.6,20.0,18.6,1,0.6027695009502508
82,83,1011.0,81.0,88.0,0.2,40.0,24.4,1,0.31187942522034223
83,84,1010.7,86.0,80.0,1.1,70.0,9.8,1,-0.6805710586949362
84,85,1008.1,86.0,83.0,4.4,90.0,17.2,1,0.6442535969966651
85,86,1013.0,90.0,85.0,5.9,70.0,17.2,1,0.4494257959515799
86,87,1013.0,74.0,88.0,0.4,40.0,16.0,1,0.4718034929731049
87,88,1012.2,86.0,84.0,1.6,70.0,17.5,1,0.6547660178182776
88,89,1016.8,87.0,82.0,2.1,70.0,32.5,1,0.021447318930922964
89,90,1010.1,91.0,88.0,0.3,50.0,19.6,1,0.3746094859172047
90,91,1014.6,87.0,81.0,4.8,40.0,8.9,1,0.3712089580583559
91,92,1013.1,89.0,81.0,1.2,70.0,31.8,1,0.3858895588186034
92,93,1016.0,90.0,88.0,0.7,30.0,28.5,1,-0.013026716683812441
93,94,1015.0,92.0,85.0,0.2,80.0,28.0,1,0.019447687826856803
94,95,1011.4,91.0,80.0,1.0,220.0,34.2,1,0.42305978939827643
95,96,1009.2,87.0,86.0,0.3,100.0,12.0,0,0.9855491930902666
96,97,1008.6,93.0,85.0,0.9,220.0,19.0,1,1.1672690672852342
97,98,1011.4,84.0,85.0,2.4,90.0,14.7,1,0.5577440901139578
98,99,1015.2,81.0,81.0,3.9,290.0,21.2,1,0.0371382022441906
99,100,1017.1,78.0,85.0,0.3,70.0,18.2,1,0.4784957885250966
100,101,1013.0,87.0,83.0,2.2,70.0,24.0,1,0.930399526335585
101,102,1016.8,86.0,83.0,3.5,30.0,9.8,1,0.7299227425645084
102,103,1013.4,85.0,78.0,2.1,70.0,24.9,1,1.1499026630119782
103,104,1015.8,86.0,83.0,3.9,170.0,24.4,0,0.9395422137470851
104,105,1008.3,87.0,82.0,1.6,200.0,23.7,1,1.1244965896521664
105,106,1008.9,89.0,88.0,0.4,70.0,34.2,1,1.2589949667581466
106,107,1010.3,84.0,84.0,2.2,230.0,15.1,1,1.034893227903378
107,108,1008.9,81.0,88.0,0.6,240.0,28.4,1,1.4927780007373281
108,109,1011.4,79.0,80.0,4.5,60.0,12.4,1,0.8839351497874562
109,110,1010.1,89.0,89.0,2.0,130.0,21.4,1,1.6682070171825394
110,111,1010.9,86.0,84.0,2.3,270.0,18.8,1,1.6949842587322297
111,112,1009.8,87.0,84.0,2.9,40.0,14.5,1,0.6714843406618802
112,113,1011.4,82.0,83.0,2.1,70.0,11.9,1,0.2856624169143382
113,114,1009.8,84.0,87.0,0.6,90.0,15.7,1,1.1408928203781172
114,115,1008.3,81.0,83.0,3.0,220.0,9.2,1,1.7434540394132736
115,116,1008.8,89.0,88.0,1.3,20.0,28.8,1,0.8748625691094531
116,117,1012.2,89.0,81.0,1.2,80.0,39.5,1,0.11935272660235137
117,118,1011.1,82.0,81.0,4.3,40.0,31.8,0,0.31776569543433636
118,119,1013.5,73.0,64.0,6.3,120.0,29.6,0,0.3586415180890754
119,120,1007.9,85.0,90.0,3.9,130.0,23.3,1,1.6072260479964717
120,121,1006.8,84.0,84.0,2.6,220.0,14.5,1,1.6942957881228653
121,122,1005.9,89.0,88.0,1.2,130.0,15.8,1,1.245069188338336
122,123,1009.5,89.0,88.0,1.4,230.0,15.1,1,1.4460580349007364
123,124,1010.9,83.0,85.0,3.5,190.0,14.2,1,1.026339336683581
124,125,1012.0,84.0,82.0,0.3,70.0,14.0,1,0.31288162553297283
125,126,1012.5,82.0,88.0,1.6,80.0,39.3,1,0.782047345700096
126,127,1008.8,81.0,80.0,3.7,80.0,20.5,1,1.6344373144617148
127,128,1011.4,89.0,89.0,1.2,200.0,22.5,1,1.6640756115081892
128,129,1009.5,84.0,70.0,3.3,230.0,15.3,1,1.5775441891380904
129,130,1011.2,81.0,88.0,0.1,200.0,26.1,1,1.7926261349618031
130,131,1008.7,82.0,75.0,9.1,120.0,21.8,0,1.6787642945088266
131,132,1012.4,81.0,87.0,2.1,20.0,19.2,1,1.5057517881170384
132,133,1008.3,75.0,68.0,10.0,230.0,19.3,1,2.1938123715688795
133,134,1005.9,77.0,59.0,7.5,70.0,9.8,0,1.41369817459574
134,135,1009.3,86.0,88.0,0.6,220.0,13.4,1,2.155880250927151
135,136,1006.6,89.0,88.0,2.5,200.0,26.4,1,2.0810707174292795
136,137,1008.5,79.0,79.0,7.0,220.0,16.4,1,1.935292407508899
137,138,1006.6,84.0,77.0,6.3,220.0,15.4,1,2.2089143075923285
138,139,1008.4,81.0,69.0,7.8,220.0,34.0,1,2.015659471642489
139,140,1008.0,89.0,74.0,6.1,230.0,15.8,1,2.1752708131996377
140,141,1007.6,76.0,46.0,10.0,220.0,9.4,0,2.044321822112809
141,142,1009.1,74.0,28.0,11.1,220.0,19.0,0,2.016087874627308
142,143,1008.5,74.0,57.0,9.1,220.0,11.9,0,1.3496968892895385
143,144,1005.2,87.0,83.0,6.9,60.0,14.1,1,1.841942330160557
144,145,1008.7,78.0,53.0,10.0,220.0,10.9,0,2.298984012207109
145,146,1008.7,81.0,83.0,3.0,130.0,52.8,1,2.07237374107803
146,147,1005.6,74.0,38.0,11.9,200.0,8.3,0,1.9605313001142053
147,148,1008.5,79.0,69.0,10.7,220.0,7.9,0,2.1462233413824094
148,149,1010.3,79.0,49.0,9.8,20.0,14.5,0,1.4362134638938637
149,150,1006.4,77.0,23.0,10.4,240.0,15.7,0,2.3869369521266157
150,151,1009.8,74.0,29.0,11.4,200.0,12.6,1,2.360302946806494
151,152,1008.9,81.0,79.0,4.8,220.0,25.0,1,2.2750454675071494
152,153,1006.6,77.0,29.0,11.0,230.0,14.5,0,2.297836417551487
153,154,1009.4,76.0,44.0,10.7,220.0,40.8,0,1.8435138604760362
154,155,1006.8,81.0,77.0,6.7,210.0,7.9,1,1.7561429402117286
155,156,1008.7,78.0,78.0,9.1,240.0,19.0,1,2.016823079680775
156,157,1005.9,79.0,88.0,0.4,50.0,15.3,1,2.4217273178412717
157,158,1008.1,81.0,78.0,4.6,230.0,21.9,1,1.8479168688215113
158,159,1009.5,86.0,67.0,5.7,110.0,11.1,1,1.8232527880627878
159,160,1008.4,86.0,78.0,2.3,230.0,14.1,1,2.284288552669969
160,161,1008.1,84.0,63.0,8.9,130.0,14.0,0,2.0079553186707124
161,162,1007.5,84.0,88.0,1.5,220.0,29.2,1,2.2515116733286185
162,163,1006.6,79.0,77.0,4.6,220.0,13.9,1,1.868280788284617
163,164,1006.9,82.0,78.0,6.6,220.0,14.5,1,1.9951508811700496
164,165,1009.9,79.0,73.0,9.4,210.0,31.9,1,2.152474964558225
165,166,1007.9,78.0,67.0,10.6,220.0,14.5,1,2.2386994447726796
166,167,1008.4,90.0,77.0,2.7,130.0,9.1,1,1.8668661983698294
167,168,1007.2,85.0,88.0,2.4,240.0,25.1,1,2.0440401191748676
168,169,1002.5,89.0,88.0,2.0,220.0,10.9,1,2.291725710382581
169,170,1006.3,89.0,88.0,0.5,230.0,20.9,1,1.5611476672270255
170,171,1003.8,80.0,83.0,0.5,220.0,27.9,1,2.2054909898143142
171,172,1002.8,89.0,78.0,2.1,220.0,9.2,1,2.0193855554363
172,173,1009.9,78.0,44.0,10.1,240.0,12.4,1,2.39138800062008
173,174,1006.8,86.0,86.0,1.0,80.0,31.2,1,1.9315720967439374
174,175,1009.3,78.0,47.0,9.1,200.0,17.2,0,1.6799016488106364
175,176,1007.5,79.0,72.0,7.1,220.0,30.3,0,2.222450777514263
176,177,1008.6,91.0,87.0,0.2,230.0,26.3,1,2.1512001470556963
177,178,1008.4,82.0,84.0,6.4,230.0,16.9,1,2.089619990225997
178,179,1007.9,82.0,84.0,1.3,200.0,14.5,1,1.7521373115934007
179,180,1006.8,80.0,88.0,1.2,190.0,26.4,1,1.766388505861175
180,181,1008.4,84.0,88.0,0.5,190.0,19.8,1,1.5272266570473612
181,182,1010.6,84.0,84.0,4.4,190.0,16.5,1,1.8262458249165558
182,183,1008.8,79.0,88.0,0.3,230.0,14.5,1,1.6985486436152706
183,184,1006.7,79.0,78.0,4.4,220.0,16.3,1,1.7595640888652013
184,185,1003.8,81.0,84.0,2.0,220.0,11.9,1,1.6087871868600212
185,186,1008.5,77.0,72.0,7.7,220.0,10.0,1,2.26831250260145
186,187,1008.1,86.0,82.0,2.2,220.0,20.0,1,1.8714375420755793
187,188,1008.9,87.0,83.0,3.0,220.0,14.3,1,1.8142889565393716
188,189,1008.1,84.0,69.0,0.4,220.0,14.3,0,2.2425547694398213
189,190,1008.4,81.0,51.0,6.9,220.0,18.0,1,2.231151217682823
190,191,1008.9,79.0,67.0,7.0,220.0,10.9,1,2.1896557266768255
191,192,1006.9,79.0,88.0,3.0,200.0,20.5,1,2.2304275476759368
192,193,1006.8,76.0,38.0,10.9,220.0,15.8,0,2.2599305506462346
193,194,1008.1,84.0,61.0,9.1,160.0,8.6,1,2.3840815185605644
194,195,1009.8,75.0,40.0,11.2,270.0,6.6,0,2.2747370795606203
195,196,1005.9,78.0,41.0,8.3,10.0,13.6,0,2.3477460273650226
196,197,1005.4,81.0,47.0,8.2,220.0,12.8,1,1.966935396365749
197,198,1006.5,74.0,61.0,10.0,200.0,23.5,0,2.123977345543873
198,199,1006.7,79.0,78.0,5.5,230.0,9.1,0,2.4670094725717977
199,200,1001.0,78.0,38.0,11.1,230.0,16.3,1,2.279456126820902
200,201,1007.9,81.0,78.0,9.1,230.0,25.5,1,2.2678864088281703
201,202,1011.4,80.0,43.0,9.5,220.0,9.8,0,1.70925593370763
202,203,1008.4,81.0,78.0,2.2,200.0,11.2,1,1.7765309442867685
203,204,1008.1,84.0,83.0,6.7,190.0,15.3,1,1.9957145782310453
204,205,1008.9,81.0,88.0,0.3,220.0,11.3,1,1.6680581590222372
205,206,1008.9,89.0,83.0,0.3,180.0,10.0,1,1.5013131380908111
206,207,1004.8,78.0,79.0,3.8,210.0,13.8,1,1.788342267222844
207,208,1004.2,89.0,84.0,0.3,220.0,17.3,1,1.7557190045518727
208,209,1008.9,83.0,82.0,3.5,280.0,9.2,1,2.11584982827135
209,210,1008.1,82.0,87.0,2.0,200.0,20.5,1,1.6852953224221618
210,211,1008.1,81.0,78.0,5.0,250.0,21.9,1,2.336609179682074
211,212,1006.5,84.0,88.0,2.1,190.0,21.9,1,1.4015697872149673
212,213,1010.5,85.0,82.0,2.9,300.0,21.9,1,1.7417348055432629
213,214,1008.4,74.0,43.0,10.0,300.0,13.8,0,2.2156047252048934
214,215,1007.9,82.0,84.0,2.2,220.0,24.5,1,1.796050747432586
215,216,1008.3,75.0,43.0,9.3,220.0,23.2,0,2.0408993787665675
216,217,1007.5,75.0,78.0,3.5,90.0,13.9,1,1.2929950293323529
217,218,1005.6,81.0,84.0,2.5,220.0,23.7,1,1.7638468019983908
218,219,1008.5,74.0,75.0,7.6,230.0,10.9,1,1.6750589826077567
219,220,1007.8,84.0,83.0,2.5,230.0,20.3,0,1.5541826143981379
220,221,1007.8,89.0,88.0,1.1,220.0,13.2,1,2.051723500253903
221,222,1005.9,90.0,88.0,0.5,230.0,19.2,1,1.2536115335004343
222,223,1008.5,85.0,88.0,0.2,230.0,15.3,1,1.5407720726303407
223,224,1005.9,79.0,67.0,6.7,240.0,7.3,1,1.8228451569707094
224,225,1010.7,87.0,84.0,6.0,220.0,9.1,1,1.1414748400333166
225,226,1012.0,76.0,50.0,8.8,60.0,14.3,0,1.262757544642247
226,227,1012.0,81.0,86.0,2.4,40.0,13.8,1,1.4578293999292125
227,228,1011.6,85.0,84.0,5.8,230.0,11.0,1,1.873053788808735
228,229,1008.5,91.0,81.0,3.7,220.0,23.2,1,1.557188200817258
229,230,1007.3,85.0,88.0,0.6,230.0,11.7,1,1.5725929028565033
230,231,1011.4,76.0,54.0,10.0,50.0,13.3,0,1.3886025072088835
231,232,1010.6,84.0,58.0,9.9,100.0,29.0,0,1.680887835740605
232,233,1009.2,75.0,62.0,6.9,10.0,12.1,1,1.1035699876468368
233,234,1010.9,89.0,87.0,0.3,40.0,11.7,1,1.0005321285941977
234,235,1012.2,86.0,83.0,3.6,80.0,23.7,1,0.8189624072523
235,236,1011.4,75.0,56.0,10.0,70.0,32.5,0,1.6092304486217335
236,237,1009.8,75.0,80.0,8.0,220.0,8.3,0,1.3344872076191565
237,238,1013.0,83.0,79.0,2.0,220.0,29.8,1,1.6872848642705303
238,239,1009.1,89.0,80.0,2.0,120.0,14.5,1,1.7553100787670264
239,240,1013.6,79.0,51.0,2.0,80.0,17.5,0,0.8055703281657042
240,241,1014.8,78.0,44.0,8.4,130.0,34.2,0,1.7044589984411986
241,242,1014.4,82.0,88.0,0.2,230.0,22.9,1,1.4835298768904353
242,243,1013.7,79.0,60.0,9.1,60.0,17.2,0,1.1548426944209802
243,244,1013.3,83.0,84.0,3.1,110.0,9.6,0,1.419200877535848
244,245,1007.9,87.0,87.0,4.1,230.0,25.9,0,1.7029711291607192
245,246,1008.1,79.0,62.0,7.7,60.0,12.5,0,1.5969610051470526
246,247,1007.1,84.0,82.0,7.6,160.0,16.5,1,1.8675708224488545
247,248,1005.8,77.0,86.0,1.2,220.0,11.7,0,1.2158867026189268
248,249,1005.7,82.0,86.0,1.8,190.0,21.6,1,1.8507813881356054
249,250,1007.6,78.0,47.0,10.0,220.0,9.2,0,1.579004498978208
250,251,1015.0,76.0,78.0,6.2,10.0,11.0,1,1.3722026725786245
251,252,1014.8,86.0,77.0,3.8,30.0,12.6,1,1.842929671696295
252,253,1013.0,75.0,54.0,10.0,60.0,14.5,0,1.2733159875854223
253,254,1007.7,75.0,78.0,2.3,10.0,17.2,1,1.8695877726394694
254,255,1008.2,78.0,69.0,6.8,20.0,11.8,1,1.9901603713256386
255,256,1010.2,79.0,67.0,4.5,80.0,44.7,1,1.355946063166816
256,257,1013.0,91.0,88.0,1.8,70.0,26.7,1,1.8406401043157825
257,258,1015.1,81.0,69.0,2.6,90.0,25.1,1,1.439747116704347
258,259,1015.0,83.0,84.0,3.6,20.0,37.5,1,1.0076440215569624
259,260,1013.5,76.0,54.0,4.5,80.0,16.7,1,0.7465835192510853
260,261,1013.2,90.0,84.0,1.2,120.0,27.3,1,1.184910397959928
261,262,1004.9,84.0,83.0,3.6,20.0,29.8,1,1.0153387975955805
262,263,1010.5,73.0,47.0,6.8,70.0,21.9,1,0.5872390218549842
263,264,1017.0,82.0,66.0,2.0,70.0,34.2,0,0.8791245103499015
264,265,1017.8,77.0,61.0,8.4,190.0,13.2,0,1.47735959452696
265,266,1016.4,84.0,88.0,3.1,80.0,37.9,1,0.5924981018253224
266,267,1017.9,82.0,77.0,8.5,200.0,23.9,0,0.9363783922345046
267,268,1008.3,73.0,21.0,10.0,60.0,38.3,0,-1.0753419551890013
268,269,1017.1,82.0,65.0,8.6,80.0,35.1,1,0.533646890059544
269,270,1010.3,89.0,89.0,0.1,60.0,50.6,1,0.7016701812996906
270,271,1018.1,90.0,81.0,1.6,180.0,52.8,1,1.2107002979738803
271,272,1017.7,79.0,43.0,9.3,80.0,24.4,0,0.35540226888000165
272,273,1018.9,90.0,81.0,3.0,60.0,13.8,1,-0.02159186277619487
273,274,1014.8,90.0,94.0,0.0,30.0,50.7,1,0.031832656992627974
274,275,1016.5,78.0,61.0,3.3,70.0,22.0,0,-0.56709060660868
275,276,1016.4,85.0,84.0,6.0,80.0,15.2,1,0.9158757148779127
276,277,1018.0,89.0,88.0,0.0,20.0,21.4,1,-0.7517164038162255
277,278,1016.0,81.0,78.0,5.8,90.0,35.3,0,0.1718167409421405
278,279,1016.8,70.0,78.0,5.3,60.0,16.4,0,0.39301718499003463
279,280,1017.1,78.0,65.0,8.8,60.0,27.3,0,0.44476185656090356
280,281,1014.1,76.0,46.0,8.8,40.0,10.9,1,0.5477710015674112
281,282,1017.7,82.0,70.0,7.6,80.0,10.0,1,0.5504764223673901
282,283,1016.8,83.0,81.0,0.7,30.0,11.0,1,0.06390534352706596
283,284,1019.5,83.0,88.0,0.9,80.0,10.2,1,0.8119765825306713
284,285,1019.8,78.0,79.0,8.2,80.0,25.1,1,-0.17390134069690888
285,286,1020.6,70.0,47.0,7.1,20.0,28.3,1,-0.04623300251763583
286,287,1017.3,79.0,79.0,3.1,60.0,22.9,1,0.3995378214514401
287,288,1019.5,79.0,83.0,3.5,70.0,15.3,1,-0.25901269130848537
288,289,1015.2,73.0,49.0,7.1,70.0,16.0,0,0.14843887264552894
289,290,1014.9,75.0,83.0,3.0,40.0,22.0,1,-0.5585502684618892
290,291,1017.1,84.0,78.0,1.0,40.0,14.6,1,0.6851477422456063
291,292,1017.1,81.0,84.0,2.4,70.0,12.0,1,0.23405651424807397
292,293,1012.2,81.0,78.0,6.5,50.0,36.0,1,0.4537373522067812
293,294,1012.5,76.0,66.0,3.2,80.0,24.9,1,0.6031634278712066
294,295,1015.2,78.0,58.0,9.4,50.0,15.5,0,0.3416895214444014
295,296,1017.1,85.0,81.0,0.0,80.0,25.9,1,0.14084606922499354
296,297,1019.4,92.0,88.0,0.1,60.0,11.0,1,-0.34117543152735164
297,298,1014.7,89.0,84.0,3.1,60.0,19.8,1,0.7850529321192167
298,299,1015.1,91.0,88.0,0.1,40.0,39.5,1,0.6393614558660302
299,300,1016.1,86.0,70.0,5.0,70.0,16.0,1,0.959645051066874
300,301,1014.7,82.0,79.0,6.9,80.0,14.6,1,0.7082645283989014
301,302,1015.2,86.0,88.0,1.2,50.0,8.7,1,0.7904568460845555
302,303,1016.1,91.0,83.0,4.5,50.0,9.9,0,0.14245885214083945
303,304,1017.1,93.0,88.0,0.4,40.0,9.1,1,0.5874395240675822
304,305,1016.7,81.0,84.0,1.1,80.0,14.5,1,0.22123823248928975
305,306,1015.3,85.0,88.0,2.0,80.0,9.8,1,0.8952015295288503
306,307,1014.4,86.0,88.0,0.6,70.0,14.7,1,0.5045848396394187
307,308,1015.1,91.0,81.0,0.8,40.0,16.4,1,0.2820909753207979
308,309,1016.7,75.0,46.0,9.1,60.0,7.9,0,0.42752353855520947
309,310,1017.5,82.0,84.0,0.1,70.0,43.8,0,-0.6477643327239194
310,311,1016.7,90.0,84.0,2.4,50.0,20.5,1,-1.245773674242181
311,312,1014.5,67.0,72.0,6.1,70.0,35.3,0,-1.9014471181226593
312,313,1015.1,86.0,80.0,1.2,70.0,12.8,1,-1.8642800711863006
313,314,1020.8,73.0,82.0,2.4,20.0,39.5,1,-2.0271752382832022
314,315,1015.2,93.0,85.0,0.7,40.0,14.5,1,-1.368777198599004
315,316,1017.9,88.0,83.0,3.1,70.0,22.9,1,-1.3072407436682094
316,317,1018.6,92.0,90.0,0.2,40.0,19.2,1,0.19217733667493442
317,318,1018.7,93.0,93.0,0.5,70.0,38.3,1,-0.6421278995632805
318,319,1019.7,90.0,87.0,0.0,50.0,29.8,1,-1.113686465432885
319,320,1018.9,78.0,38.0,5.7,80.0,36.0,1,-1.3231067388782556
320,321,1017.5,75.0,44.0,6.7,60.0,28.9,1,-1.0285702052131152
321,322,1017.7,77.0,82.0,0.5,70.0,35.8,1,-2.2415368488414598
322,323,1019.9,86.0,89.0,3.4,50.0,22.0,1,-0.6454689923145575
323,324,1018.7,90.0,59.0,4.9,10.0,14.2,0,-2.3202875261548965
324,325,1015.6,93.0,88.0,0.0,60.0,23.5,1,-1.5444951257907713
325,326,1019.9,77.0,53.0,5.0,20.0,11.8,0,-1.0412306831505524
326,327,1016.0,86.0,93.0,0.2,50.0,11.8,1,-1.2847072718628811
327,328,1017.1,65.0,60.0,6.8,60.0,35.3,0,-1.6113861598461479
328,329,1022.5,77.0,94.0,0.0,10.0,24.4,1,-2.5537576938514666
329,330,1022.9,73.0,17.0,3.1,40.0,41.3,0,-2.4128139678935763
330,331,1017.9,78.0,89.0,0.2,40.0,22.8,1,-2.5559063452250697
331,332,1024.4,75.0,43.0,9.1,20.0,39.5,0,-3.6375293386057783
332,333,1024.7,77.0,88.0,0.0,20.0,22.6,1,-4.144734925061562
333,334,1021.4,87.0,80.0,0.2,30.0,27.3,1,-3.6247159664551876
334,335,1018.0,79.0,69.0,3.3,70.0,30.0,0,-0.7746116356901851
335,336,1021.1,67.0,75.0,5.1,50.0,35.8,0,-1.8885154687862085
336,337,1020.8,75.0,69.0,7.7,40.0,18.0,0,-1.9388077506481156
337,338,1023.8,76.0,49.0,3.9,70.0,35.1,0,-3.196772105585392
338,339,1017.9,80.0,88.0,4.1,20.0,21.9,1,-1.2133327422877211
339,340,1021.2,82.0,88.0,0.2,50.0,20.9,1,-1.7769342500526994
340,341,1019.3,89.0,75.0,3.1,30.0,25.1,1,-1.4906282076808917
341,342,1020.7,75.0,55.0,6.8,30.0,33.4,0,-3.0734986935112056
342,343,1022.6,79.0,86.0,0.7,60.0,28.7,0,-2.3969970273502903
343,344,1020.2,79.0,87.0,1.8,60.0,32.9,0,-3.79545938617409
344,345,1019.5,87.0,80.0,0.0,20.0,27.3,1,-1.5863832490249563
345,346,1022.0,88.0,88.0,0.1,20.0,28.4,1,-3.598401592943062
