id,day,pressure,humidity,cloud,sunshine,winddirection,windspeed,Temp_unificada
2342,153,1008.4,81.0,86.0,2.1,230.0,26.7,2.301244383211652
2343,154,1010.5,76.0,57.0,10.0,60.0,25.1,1.4300720841130226
2344,155,1006.6,89.0,83.0,6.1,270.0,22.8,2.1995912147158356
2345,156,1008.5,84.0,73.0,5.7,220.0,37.5,2.420545985652485
2346,157,1007.7,61.0,77.0,0.8,20.0,11.8,2.1992177546388785
2347,158,1007.5,79.0,78.0,5.0,220.0,22.8,2.527577016200459
2348,159,1008.1,81.0,78.0,4.5,220.0,21.5,2.2766235849411673
2349,160,1008.9,87.0,82.0,5.7,220.0,10.3,2.0624836022055355
2350,161,1008.4,81.0,79.0,6.7,200.0,25.0,1.7357681427062917
2351,162,1007.5,81.0,84.0,2.5,230.0,14.5,2.0203586171634145
2352,163,1009.9,74.0,46.0,10.8,200.0,24.9,2.278956775277582
2353,164,1009.1,77.0,53.0,10.5,200.0,25.2,2.1174627898123504
2354,165,1008.2,74.0,44.0,10.4,220.0,17.2,2.386554654637567
2355,166,1006.9,79.0,69.0,11.5,200.0,11.3,2.1849196113344895
2356,167,1007.8,89.0,80.0,6.3,220.0,29.8,2.3889699476346564
2357,168,1008.2,86.0,80.0,2.1,250.0,11.2,2.03898745246245
2358,169,1008.9,86.0,83.0,2.3,220.0,12.5,1.6684759003415202
2359,170,1005.0,79.0,43.0,10.1,230.0,11.3,2.6211973624198217
2360,171,1008.5,83.0,77.0,0.9,200.0,23.5,2.0708234024159378
2361,172,1006.4,80.0,69.0,9.5,240.0,29.2,1.7726961540439725
2362,173,1006.9,84.0,88.0,6.3,220.0,29.6,2.0706662694612823
2363,174,1009.9,89.0,48.0,9.1,230.0,12.7,2.0466411295804967
2364,175,1008.8,86.0,88.0,6.5,220.0,13.2,1.991367663712019
2365,176,1009.2,93.0,88.0,0.2,230.0,23.7,1.9705569871163213
2366,177,1008.7,87.0,83.0,1.2,230.0,20.5,1.7941461332366235
2367,178,1006.8,81.0,88.0,0.3,240.0,22.1,1.9456104240459533
2368,179,1006.5,85.0,88.0,3.2,260.0,26.2,1.9719687542631539
2369,180,1008.3,81.0,83.0,8.4,220.0,15.3,2.239343290792513
2370,181,1008.6,87.0,84.0,2.8,160.0,11.3,1.7314822251433388
2371,182,1007.8,81.0,78.0,5.3,220.0,20.9,2.110109519207211
2372,183,1002.4,79.0,38.0,10.0,140.0,22.1,1.7936185598838457
2373,184,1008.2,81.0,88.0,1.0,200.0,16.9,2.3042556211589225
2374,185,1009.8,79.0,72.0,9.1,220.0,14.5,2.225984482761967
2375,186,1008.1,81.0,57.0,6.8,220.0,9.8,1.8218942363288575
2376,187,1008.1,78.0,40.0,8.3,240.0,14.1,1.940603101225373
2377,188,1008.2,83.0,84.0,6.1,220.0,9.4,2.0937973789452506
2378,189,1008.9,87.0,89.0,0.2,190.0,17.5,1.7494287740346683
2379,190,1007.8,78.0,79.0,6.6,220.0,19.6,1.9934075494018961
2380,191,1009.8,82.0,79.0,6.0,230.0,21.2,2.0432559011109372
2381,192,1008.4,81.0,77.0,5.0,220.0,12.0,2.38551911180376
2382,193,1011.0,81.0,72.0,8.5,230.0,19.2,2.3609946777025526
2383,194,1009.9,72.0,32.0,9.0,230.0,12.5,2.1715813807908195
2384,195,1006.3,79.0,78.0,11.8,220.0,7.4,2.263528828809676
2385,196,1010.3,79.0,47.0,7.5,190.0,24.4,1.8723084632347842
2386,197,1008.5,75.0,49.0,10.4,230.0,20.0,2.016990040602506
2387,198,1009.4,78.0,69.0,8.1,220.0,25.0,2.07082905799771
2388,199,1008.5,79.0,78.0,7.7,220.0,24.5,2.230548026677932
2389,200,1008.3,74.0,55.0,11.1,30.0,17.2,2.3593952069021142
2390,201,1008.8,72.0,52.0,9.6,220.0,26.4,2.309759473963858
2391,202,1008.8,82.0,86.0,4.5,270.0,5.5,2.506081288960987
2392,203,1006.0,74.0,58.0,10.9,10.0,25.2,2.474430751094509
2393,204,1010.5,76.0,84.0,4.4,10.0,23.9,2.3306663581195193
2394,205,1009.5,81.0,87.0,3.2,20.0,11.9,1.6295188135318521
2395,206,1006.4,89.0,49.0,9.1,30.0,11.8,2.0373153712677583
2396,207,1005.0,87.0,87.0,1.2,40.0,17.2,1.7248990286880297
2397,208,1008.6,86.0,84.0,6.2,20.0,10.2,1.5190524688371936
2398,209,1010.1,89.0,58.0,7.4,220.0,12.6,2.3914926322456176
2399,210,1008.5,80.0,71.0,10.8,130.0,7.4,1.897042407534367
2400,211,1008.8,81.0,72.0,6.7,220.0,12.5,1.9933876900873813
2401,212,1008.6,77.0,68.0,8.4,220.0,24.8,2.212094737363467
2402,213,1007.5,81.0,69.0,3.2,300.0,21.6,1.644202230245891
2403,214,1004.7,79.0,79.0,6.4,200.0,12.9,1.4765234235194873
2404,215,1000.3,84.0,87.0,0.7,240.0,12.3,1.6597721323205814
2405,216,1005.9,79.0,82.0,1.7,50.0,13.2,1.5852328201227104
2406,217,1008.1,83.0,81.0,1.1,250.0,21.4,1.9197576434100563
2407,218,1005.4,84.0,84.0,5.6,220.0,9.1,2.263245891211233
2408,219,1008.1,74.0,23.0,10.5,230.0,11.0,2.1272818129277202
2409,220,1007.6,81.0,88.0,1.2,230.0,15.8,1.8093916872963538
2410,221,1007.4,89.0,51.0,7.6,190.0,15.3,2.3650848161304014
2411,222,1005.0,91.0,88.0,1.8,50.0,15.0,1.4084226174337484
2412,223,1007.9,82.0,81.0,1.1,220.0,16.4,1.9641887998318464
2413,224,1008.5,79.0,79.0,4.0,160.0,20.3,2.1134896918741064
2414,225,1008.8,89.0,84.0,2.2,110.0,16.0,0.9891506336813044
2415,226,1012.0,79.0,60.0,8.5,60.0,15.4,1.5099738932881523
2416,227,1010.5,89.0,81.0,2.1,60.0,12.4,1.72858076920999
2417,228,1008.7,83.0,84.0,1.4,210.0,11.3,1.5387659590320335
2418,229,1012.4,89.0,82.0,3.8,50.0,24.4,1.64461904796962
2419,230,1012.2,74.0,74.0,9.2,40.0,14.5,2.183082950982429
2420,231,1010.5,75.0,51.0,7.7,70.0,28.8,1.8155388064925264
2421,232,1011.0,77.0,60.0,9.6,60.0,28.0,2.091182224625521
2422,233,1008.9,84.0,88.0,1.2,70.0,13.0,0.7883534068466758
2423,234,1007.7,93.0,88.0,0.4,100.0,28.0,0.8253941210436588
2424,235,1009.9,89.0,88.0,2.2,230.0,27.6,1.6391030374956495
2425,236,1011.4,77.0,29.0,10.5,70.0,17.2,2.0849333693972483
2426,237,1011.9,75.0,47.0,8.2,60.0,13.7,0.9808919625164509
2427,238,1012.0,84.0,47.0,7.9,80.0,38.0,1.8422800197193279
2428,239,1012.0,84.0,78.0,2.0,230.0,40.8,1.7367249468946002
2429,240,1013.3,77.0,61.0,10.0,40.0,9.2,1.5045002668458265
2430,241,1015.0,81.0,82.0,4.3,180.0,15.8,1.5196344654973997
2431,242,1014.4,86.0,88.0,0.2,80.0,17.3,1.1917240386430983
2432,243,1014.4,88.0,82.0,2.4,70.0,18.0,0.9812856557439421
2433,244,1014.8,82.0,46.0,7.7,80.0,41.3,1.269309526617171
2434,245,1010.0,86.0,88.0,2.0,220.0,21.3,1.775803599551207
2435,246,1011.0,84.0,78.0,4.5,220.0,11.2,1.652493862509746
2436,247,1006.9,81.0,70.0,3.4,180.0,39.9,1.7870593049305885
2437,248,1008.9,78.0,69.0,9.5,220.0,16.5,1.3467740190237376
2438,249,1011.2,82.0,84.0,0.4,180.0,12.0,1.7551339049471673
2439,250,1012.0,76.0,88.0,3.6,70.0,15.4,1.717465072207139
2440,251,1009.9,82.0,59.0,6.2,40.0,25.5,1.8116942774341396
2441,252,1008.8,87.0,83.0,6.2,220.0,20.0,1.8776590197697134
2442,253,1006.8,81.0,69.0,7.4,230.0,8.3,1.2864861284683073
2443,254,1008.2,74.0,65.0,8.1,10.0,14.6,1.717795705082656
2444,255,1006.9,75.0,88.0,0.5,230.0,30.3,1.3523419057957735
2445,256,1011.4,83.0,81.0,3.0,80.0,43.8,1.5237024530441372
2446,257,1011.4,84.0,87.0,3.1,70.0,50.7,1.4063544526115166
2447,258,1010.6,79.0,88.0,0.2,30.0,43.8,1.154925225464059
2448,259,1014.5,86.0,95.0,1.4,230.0,20.3,1.272876773658888
2449,260,1013.3,68.0,39.0,9.1,100.0,12.6,0.5904265925769727
2450,261,1015.2,84.0,88.0,1.1,70.0,32.2,1.0249681013908754
2451,262,1008.4,94.0,87.0,0.0,120.0,14.1,1.0952041837206405
2452,263,1010.5,88.0,94.0,0.7,200.0,11.9,0.5733246176841214
2453,264,1012.0,91.0,89.0,2.3,70.0,52.8,0.23023559158257187
2454,265,1016.8,77.0,89.0,0.4,80.0,39.7,1.0735041009189112
2455,266,1017.0,70.0,57.0,7.6,80.0,10.9,1.4370727275708455
2456,267,1017.8,75.0,49.0,8.5,230.0,9.1,1.757996242030594
2457,268,1018.3,83.0,88.0,5.3,80.0,18.4,0.860824150886619
2458,269,1017.6,86.0,93.0,0.3,160.0,25.5,0.9100652464819333
2459,270,1015.6,77.0,73.0,7.9,90.0,52.8,0.5385108930515128
2460,271,1013.4,82.0,44.0,7.4,230.0,16.2,0.8742003007219944
2461,272,1015.8,93.0,88.0,1.1,190.0,25.0,0.1823467234066049
2462,273,1019.0,86.0,67.0,6.8,220.0,18.4,0.7172012703486178
2463,274,1017.7,85.0,54.0,0.3,70.0,46.3,-0.4877601852711281
2464,275,1017.7,87.0,83.0,1.6,70.0,43.1,0.37776301073438223
2465,276,1011.0,89.0,88.0,1.2,50.0,40.4,0.5762348672713291
2466,277,1010.3,78.0,46.0,1.6,70.0,9.9,0.6534305269787415
2467,278,1019.0,77.0,49.0,9.2,70.0,26.5,-0.03192029303070824
2468,279,1014.4,73.0,20.0,10.5,80.0,24.3,0.42402051823599707
2469,280,1017.6,77.0,75.0,3.7,60.0,22.5,-0.23806000091876833
2470,281,1015.6,75.0,51.0,8.2,60.0,13.0,0.5785195453248544
2471,282,1012.6,76.0,46.0,10.3,20.0,9.5,0.5012745563287385
2472,283,1016.7,79.0,87.0,0.6,30.0,13.9,-0.29944759538474236
2473,284,1010.7,83.0,58.0,8.8,60.0,14.8,1.0206803932069817
2474,285,1013.7,70.0,43.0,9.5,20.0,12.8,0.49423479402099374
2475,286,1018.6,70.0,54.0,10.2,20.0,11.0,0.6354095770722176
2476,287,1015.8,79.0,66.0,1.2,60.0,9.2,0.6882653017676983
2477,288,1016.8,81.0,83.0,2.5,40.0,24.4,0.28473779245938763
2478,289,1013.9,79.0,82.0,1.3,80.0,13.7,0.4057670902441726
2479,290,1008.5,78.0,65.0,6.5,110.0,14.2,0.2872227750053492
2480,291,1015.2,84.0,80.0,5.9,80.0,21.9,0.13922232420144082
2481,292,1010.1,76.0,84.0,3.7,70.0,26.5,0.8476561845817656
2482,293,1019.1,83.0,75.0,1.8,80.0,21.9,0.2583900465169875
2483,294,1017.2,85.0,81.0,1.1,70.0,27.4,0.29438500744138246
2484,295,1014.6,75.0,85.0,2.4,90.0,15.3,-0.09621389828704031
2485,296,1016.0,81.0,88.0,0.3,40.0,24.8,0.3765747020759009
2486,297,1018.2,86.0,88.0,3.3,50.0,18.2,-0.5740798848554547
2487,298,1017.5,86.0,83.0,1.0,40.0,14.5,0.7631861495240247
2488,299,1017.2,81.0,88.0,6.4,20.0,13.0,0.5117330697680915
2489,300,1013.9,86.0,81.0,3.2,70.0,20.5,0.45014071478612533
2490,301,1014.6,84.0,84.0,3.9,20.0,21.2,0.8106833988123907
2491,302,1014.3,75.0,43.0,7.4,20.0,28.0,0.5538247198751933
2492,303,1017.6,84.0,88.0,1.1,60.0,14.8,0.3681137791883564
2493,304,1015.6,75.0,78.0,4.7,30.0,15.9,0.6711671918356783
2494,305,1014.3,89.0,88.0,1.2,70.0,39.9,0.7642542102870367
2495,306,1015.2,90.0,88.0,1.8,40.0,20.5,0.6863536406213351
2496,307,1017.8,85.0,86.0,1.2,70.0,15.1,0.4889450062714421
2497,308,1017.7,82.0,61.0,8.6,80.0,25.1,0.6085857602390865
2498,309,1017.6,93.0,83.0,2.9,80.0,27.3,0.4156185735128894
2499,310,1017.6,78.0,70.0,9.3,80.0,15.7,-0.37991151362937925
2500,311,1016.1,77.0,69.0,6.3,70.0,14.5,-0.4377719435788081
2501,312,1017.4,82.0,87.0,0.6,70.0,29.7,-1.5812633577355633
2502,313,1018.1,70.0,49.0,9.5,20.0,23.4,-1.8945300865048544
2503,314,1017.9,87.0,81.0,0.0,70.0,15.3,-2.213812936974353
2504,315,1019.0,85.0,83.0,2.0,70.0,23.3,-1.5234007533892973
2505,316,1021.5,79.0,79.0,3.9,20.0,13.7,-1.4563820551900009
2506,317,1017.8,89.0,89.0,1.1,80.0,20.5,-0.21638222560746262
2507,318,1019.5,85.0,89.0,0.7,60.0,15.3,-1.7512948107772013
2508,319,1019.4,86.0,89.0,1.1,30.0,20.9,-0.6614119126602795
2509,320,1020.9,78.0,46.0,8.6,10.0,19.6,-1.9911023186710324
2510,321,1022.2,78.0,83.0,1.5,10.0,39.5,-1.7853115295787696
2511,322,1018.5,73.0,89.0,0.6,70.0,34.2,-1.6076966887470665
2512,323,1019.8,77.0,86.0,0.7,70.0,30.6,-1.2233057287760543
2513,324,1018.1,90.0,91.0,0.6,40.0,12.7,-2.558999754481636
2514,325,1018.3,84.0,88.0,0.1,40.0,22.0,-0.6465526056253279
2515,326,1016.9,94.0,81.0,0.0,40.0,15.7,-0.9839164848905504
2516,327,1019.5,78.0,88.0,0.0,50.0,38.0,-1.242594699601685
2517,328,1019.7,75.0,88.0,0.0,30.0,38.3,-1.3468752789197196
2518,329,1020.4,78.0,86.0,0.4,30.0,23.9,-2.220759756903857
2519,330,1018.3,95.0,91.0,0.0,60.0,25.0,-2.8998158170289003
2520,331,1025.2,74.0,88.0,0.3,60.0,24.4,-2.6144020446727367
2521,332,1020.4,78.0,88.0,3.5,40.0,29.0,-3.860269823203877
2522,333,1022.2,49.0,89.0,0.0,20.0,28.8,-3.8513512337391336
2523,334,1023.2,79.0,85.0,3.8,40.0,26.5,-2.9201275732401935
2524,335,1025.3,76.0,51.0,2.2,70.0,38.0,-2.4436828165853566
2525,336,1023.8,91.0,88.0,0.0,40.0,39.5,-2.285981857716465
2526,337,1024.1,62.0,29.0,4.5,40.0,14.2,-2.320696139107064
2527,338,1023.4,93.0,95.0,0.0,50.0,26.8,-3.068190140280626
2528,339,1019.5,79.0,93.0,0.0,60.0,28.3,-2.5208737943261244
2529,340,1017.5,84.0,89.0,0.0,20.0,28.6,-2.890717981944452
2530,341,1020.4,75.0,88.0,0.0,20.0,18.8,-3.3208653645757154
2531,342,1022.5,92.0,95.0,0.0,50.0,28.0,-4.082217940669717
2532,343,1025.9,79.0,83.0,1.1,60.0,22.2,-2.4256697162172416
2533,344,1017.7,79.0,88.0,0.0,70.0,34.3,-3.5262603167668196
2534,345,1019.9,81.0,78.0,3.5,50.0,12.8,-1.728997110797601
2535,346,1023.4,76.0,55.0,2.2,20.0,29.8,-3.4205543380721353
2536,347,1021.1,76.0,88.0,0.0,40.0,28.6,-3.3511033789069393
2537,348,1016.9,89.0,91.0,0.0,50.0,37.5,-2.7263574783748026
2538,349,1026.4,79.0,88.0,0.0,20.0,24.4,-3.4682964490579256
2539,350,1018.0,86.0,89.0,1.3,40.0,14.5,-2.4113578418495822
2540,351,1016.7,81.0,76.0,3.0,70.0,24.0,-3.3123246023179096
2541,352,1019.5,75.0,87.0,1.0,50.0,32.2,-2.6276226349476928
2542,353,1022.7,82.0,69.0,3.3,60.0,19.4,-1.0513015413004339
2543,354,1026.6,78.0,83.0,0.3,20.0,23.5,-2.2044095407408792
2544,355,1018.1,91.0,86.0,0.6,50.0,32.2,-2.2774116254844716
